dataset,source_name,canonical_name,display_label,domain,storage_type,analytic_type,unit,summary_method,include_profile,privacy_class,display_order,required,allowed_values,quality_rule,origin
DAD,readmission_30d_flag,readmission_30d_flag,30-day readmission,Disposition and outcomes,numeric,binary_flag,none,categorical,main,public,33,TRUE,0|1|NA,binary_or_missing,source
DAD,discharge_disposition,discharge_disposition,Discharge disposition,Disposition and outcomes,character,nominal,none,categorical,main,public,34,TRUE,,,source
DAD,discharge_destination,discharge_destination,Discharge destination,Disposition and outcomes,character,nominal,none,categorical,main,public,35,TRUE,,,source
DAD,attending_service,attending_service,Attending service,Encounter or admission context,character,nominal,none,categorical,main,public,36,TRUE,,,source
DAD,most_responsible_provider,most_responsible_provider,Most responsible provider,Identifiers,character,identifier,none,exclude,exclude,direct_identifier,37,TRUE,,not_public,source
DAD,entry_code,entry_code,Entry code,Encounter or admission context,character,coded_category,none,categorical,main,public,38,TRUE,,,source
DAD,transfer_from_facility,transfer_from_facility,Transfer from facility,Identifiers,character,identifier,none,exclude,exclude,quasi_identifier,39,TRUE,,not_public,source
DAD,transfer_to_facility,transfer_to_facility,Transfer to facility,Identifiers,character,identifier,none,exclude,exclude,quasi_identifier,40,TRUE,,not_public,source
DAD,newborn_flag,newborn_flag,Newborn indicator,Disposition and outcomes,numeric,binary_flag,none,categorical,main,public,41,TRUE,0|1|NA,binary_or_missing,source
DAD,palliative_flag,palliative_flag,Palliative care indicator,Disposition and outcomes,numeric,binary_flag,none,categorical,main,public,42,TRUE,0|1|NA,binary_or_missing,source
DAD,death_flag,death_flag,In-hospital death,Disposition and outcomes,numeric,binary_flag,none,categorical,main,public,43,FALSE,0|1|NA,binary_or_missing,derived
DAD,fiscal_year,fiscal_year,Fiscal year,Data quality and provenance,character,provenance,none,coverage,coverage,public,44,FALSE,,,derived
DAD,abstract_status,abstract_status,Abstract status,Data quality and provenance,character,quality_status,none,quality,quality,public,45,TRUE,,,source
DAD,data_quality_flag,data_quality_status,Data quality status,Data quality and provenance,character,quality_status,none,quality,quality,public,46,TRUE,,,source
DAD,source_system,source_system,Source system,Data quality and provenance,character,provenance,none,exclude,appendix,internal,47,TRUE,,not_public,source
DAD,link_patient_id_quality,link_patient_id_quality,Patient linkage quality,Data quality and provenance,character,quality_status,none,quality,quality,public,48,TRUE,,,source
DAD,admission_date_quality,admission_date_quality,Admission date quality,Data quality and provenance,character,quality_status,none,quality,quality,public,49,TRUE,,,source
DAD,created_datetime,created_datetime,Record created datetime,Data quality and provenance,datetime,provenance,datetime,exclude,appendix,internal,50,TRUE,,not_public,source
DAD,los_days,los_days,Length of stay,Flow and length of stay,numeric,duration,days,continuous,main,public,51,FALSE,,non_negative,derived
